#,Ruolo,Nome,Prezzo,Squadra,Anni Contratto,FVMp,FVMp Prevista
1,D,Juan Jesus,17,Nap,3,9,10.35
2,D,Pereira P.,1,Mon,3,11,12.65
3,D,Djimsiti,35,Ata,3,23,26.45
4,D,Gabbia,20,Mil,3,12,13.8
5,D,Rrahmani,11,Nap,3,54,62.1
6,D,Maripan,50,Tor,3,21,24.15
7,D,Carboni A.,1,Mon,3,9,10.35
8,D,Lucumi',51,Bol,3,16,18.4
9,D,Tchatchoua,36,Ver,3,16,18.4
10,D,Ghilardi,18,Ver,3,10,11.5
11,C,Grassi,1,Emp,3,12,13.8
12,C,Zambo Anguissa,48,Nap,3,92,105.8
13,C,Strefezza,55,Com,3,66,75.9
14,C,Ikone',9,Com,3,17,19.55
15,C,McTominay,121,Nap,3,217,249.55
16,C,Ederson D.s.,61,Ata,3,58,66.7
17,C,Gineitis,37,Tor,3,16,18.4
18,C,Keita M.,20,Par,3,14,16.1
19,A,Keita B.,1,Mon,3,24,27.6
20,A,Petagna,4,Mon,3,6,6.9
21,A,Piccoli,182,Cag,3,85,97.75
22,A,Charpentier,3,Par,3,12,13.8
23,A,Lambourde,1,Ver,3,3,3.45
24,A,Haj Mohamed,3,Par,3,7,8.05
25,A,Pedrola,3,Bol,3,5,5.75
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
