R,RM,Nome,Squadra,FVM
P,Por,Meret,Napoli,118
P,Por,Svilar,Roma,94
P,Por,Milinkovic-Savic V.,Torino,66
P,Por,De Gea,Fiorentina,69
P,Por,Carnesecchi,Atalanta,74
P,Por,Sommer,Inter,83
P,Por,Di Gregorio,Juventus,83
P,Por,Maignan,Milan,67
P,Por,Caprile,Cagliari,27
P,Por,Skorupski,Bologna,40
P,Por,Leali,Genoa,30
P,Por,Mandas,Lazio,41
P,Por,Falcone,Lecce,24
P,Por,Suzuki,Parma,32
P,Por,Vasquez D.,Empoli,9
P,Por,Turati,Monza,7
P,Por,Butez,Como,28
P,Por,Martinez Jo.,Inter,1
P,Por,Okoye,Udinese,17
P,Por,Montipo',Verona,17
P,Por,Stankovic F.,Venezia,1
P,Por,Radu I.,Venezia,21
P,Por,Provedel,Lazio,1
P,Por,Ravaglia F.,Bologna,1
P,Por,Sava,Udinese,1
P,Por,Reina,Como,1
P,Por,Sommariva,Genoa,1
P,Por,Terracciano,Fiorentina,1
P,Por,Perin,Juventus,1
P,Por,Sportiello,Milan,1
P,Por,Joronen,Venezia,1
P,Por,Perilli,Verona,1
P,Por,Pizzignacco,Monza,1
P,Por,Siegrist,Genoa,1
P,Por,Rossi F.,Atalanta,1
P,Por,Bagnolini,Bologna,1
P,Por,Scuffet,Napoli,1
P,Por,Sherri,Cagliari,1
P,Por,Vigorito,Como,1
P,Por,Martinelli T.,Fiorentina,1
P,Por,Gollini,Roma,1
P,Por,Di Gennaro,Inter,1
P,Por,Pinsoglio,Juventus,1
P,Por,Furlanetto,Lazio,1
P,Por,Fruchtl,Lecce,1
P,Por,Samooja,Lecce,1
P,Por,Nava,Milan,1
P,Por,Contini,Napoli,1
P,Por,Corvi,Parma,1
P,Por,Paleari,Torino,1
P,Por,Padelli,Udinese,1
P,Por,Grandi,Venezia,1
P,Por,Berardi A.,Verona,1
P,Por,Brancolini,Empoli,1
P,Por,Ciocci,Cagliari,1
P,Por,Torriani,Milan,1
P,Por,Donnarumma An.,Torino,1
P,Por,Silvestri,Empoli,1
P,Por,Mazza,Monza,1
P,Por,Marin Re.,Roma,1
P,Por,Rui Patricio,Atalanta,1
P,Por,Seghetti,Empoli,1
P,Por,Piana,Udinese,1
P,Por,Marcone,Parma,1
P,Por,Calligaris,Inter,1
P,Por,De Marzi,Roma,1
D,E,Dimarco,Inter,98
D,E,Dumfries,Inter,105
D,Dd;Ds;E,Zortea,Cagliari,83
D,E,Carlos Augusto,Inter,33
D,Dc,Bastoni,Inter,86
D,E,Gosens,Fiorentina,74
D,B;Dd;E,Di Lorenzo,Napoli,66
D,E,Zappacosta,Atalanta,33
D,Ds;E,Martin,Genoa,52
D,Dd;Ds;E,Cambiaso,Juventus,36
D,Dc,Mancini,Roma,33
D,Ds;E,Angelino,Roma,50
D,Dd;E,Dodo',Fiorentina,46
D,Ds;E,Hernandez T.,Milan,53
D,Ds;E,Valeri,Parma,31
D,Dc,Bisseck,Inter,25
D,B;Dd;E,Darmian,Inter,15
D,Ds;E,Tavares N.,Lazio,36
D,Dd;Ds;E,Birindelli,Monza,8
D,Dc,Rrahmani,Napoli,54
D,B;Dd;E,Delprato,Parma,22
D,E,Bellanova,Atalanta,55
D,Dc,Luperto,Cagliari,21
D,Ds;Dc,Vasquez,Genoa,38
D,Dc,De Vrij,Inter,25
D,Dd;Ds;E,Marusic,Lazio,29
D,Ds;E,Kyriakopoulos,Monza,18
D,Dc,Buongiorno,Napoli,57
D,E,Spinazzola,Napoli,22
D,Dc,Gigot,Lazio,13
D,Ds;E,Miranda J.,Bologna,30
D,Ds;E,Augello,Cagliari,31
D,Dc,Ismajli,Empoli,21
D,Ds;E,Cacace,Empoli,14
D,Ds;E,Pezzella Giu.,Empoli,19
D,Ds;E,Parisi,Fiorentina,13
D,Dc,Gatti,Juventus,15
D,Dd;Dc,Baschirotto,Lecce,18
D,Dc,Gabbia,Milan,12
D,Dc,N'Dicka,Roma,27
D,Dc,Mina,Cagliari,23
D,Ds;Dc,Ranieri L.,Fiorentina,16
D,Dd;Dc,De Winter,Genoa,22
D,Dc,Gila,Lazio,22
D,Dc,Gaspar K.,Lecce,22
D,Dd;Dc,Kalulu,Juventus,23
D,B;Ds;E,Olivera,Napoli,20
D,E,Lazaro,Torino,23
D,Ds;E,Kamara H.,Udinese,14
D,Dc,Idzes,Venezia,18
D,Dc,Pavlovic,Milan,16
D,Dc,Solet,Udinese,42
D,Dc,Djimsiti,Atalanta,23
D,E,Ruggeri,Atalanta,10
D,Dc,Beukema,Bologna,24
D,B;Dd;E,Zappa,Cagliari,16
D,Dc,Viti,Empoli,12
D,Dc,Acerbi,Inter,28
D,Dc,Bremer,Juventus,39
D,Dc,Romagnoli,Lazio,27
D,Ds;E,Pellegrini Lu.,Lazio,13
D,Dc,Valenti,Parma,12
D,B;Dd;E,Vojvoda,Como,17
D,B;Ds;E,Masina,Torino,12
D,Dc,Bijol,Udinese,23
D,Dd;E,Tchatchoua,Verona,16
D,B;Dd;E,Savona,Juventus,9
D,E,Cuadrado,Atalanta,15
D,Dc,Maripan,Torino,21
D,B;Dd;E,Walker,Milan,13
D,Dd;E,Holm,Bologna,12
D,Ds;E,Lykogiannis,Bologna,13
D,Dc,Comuzzo,Fiorentina,14
D,B;Ds;E,Biraghi,Torino,18
D,Dd;Ds;E,Sabelli,Genoa,9
D,Dd;Dc,Pavard,Inter,20
D,Dc,Tomori,Milan,18
D,Dc,Coppola D.,Verona,12
D,Ds;E,Haps,Venezia,9
D,Dd;Ds;E,Jimenez A.,Milan,21
D,B;Ds;E,Kolasinac,Atalanta,21
D,Dc,Obert,Cagliari,10
