#,Ruolo,Nome,Prezzo,Squadra,Anni Contratto,FVMp,FVMp Prevista
1,P,Suzuki,13.0,Par,3.0,32.0,30.4
2,D,Juan Jesus,17.0,Nap,3.0,9.0,8.55
3,D,Pereira P.,1.0,Mon,3.0,11.0,10.45
4,D,Djimsiti,35.0,Ata,3.0,23.0,21.85
5,D,Gabbia,20.0,Mil,3.0,12.0,11.4
6,D,Rrahmani,11.0,Nap,3.0,54.0,51.3
7,D,Maripan,50.0,Tor,3.0,21.0,19.95
8,D,Carboni A.,1.0,Mon,3.0,9.0,8.55
9,D,Lucumi',51.0,Bol,3.0,16.0,15.2
10,D,Tchatchoua,36.0,Ver,3.0,16.0,15.2
11,D,Ghilardi,18.0,Ver,3.0,10.0,9.5
12,C,Grassi,1.0,Emp,3.0,12.0,11.4
13,C,Zambo Anguissa,48.0,Nap,3.0,92.0,87.4
14,C,Strefezza,55.0,Com,3.0,66.0,62.7
15,C,Ikone',9.0,Com,3.0,17.0,16.15
16,C,McTominay,121.0,Nap,3.0,217.0,206.15
17,C,Ederson D.s.,61.0,Ata,3.0,58.0,55.1
18,C,Gineitis,37.0,Tor,3.0,16.0,15.2
19,C,Keita M.,20.0,Par,3.0,14.0,13.3
20,A,Keita B.,1.0,Mon,3.0,24.0,22.8
21,A,Petagna,4.0,Mon,3.0,6.0,5.7
22,A,Piccoli,182.0,Cag,3.0,85.0,80.75
23,A,Charpentier,3.0,Par,3.0,12.0,11.4
24,A,Lambourde,1.0,Ver,3.0,3.0,2.85
25,A,Haj Mohamed,3.0,Par,3.0,7.0,6.65
26,A,Pedrola,3.0,Bol,3.0,5.0,4.75
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
